symbol,name,ticker,source_index
NCC,NCC Ltd.,NCC.NS,NIFTY 500
NESTLEIND,Nestle India Ltd.,NESTLEIND.NS,NIFTY 500
NETWEB,Netweb Technologies India Ltd.,NETWEB.NS,NIFTY 500
NEULANDLAB,Neuland Laboratories Ltd.,NEULANDLAB.NS,NIFTY 500
NEWGEN,Newgen Software Technologies Ltd.,NEWGEN.NS,NIFTY 500
NH,Narayana Hrudayalaya Ltd.,NH.NS,NIFTY 500
NHPC,NHPC Ltd.,NHPC.NS,NIFTY 500
NIACL,The New India Assurance Company Ltd.,NIACL.NS,NIFTY 500
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,NIVABUPA.NS,NIFTY 500
NLCINDIA,NLC India Ltd.,NLCINDIA.NS,NIFTY 500
NMDC,NMDC Ltd.,NMDC.NS,NIFTY 500
NSLNISP,NMDC Steel Ltd.,NSLNISP.NS,NIFTY 500
NTPC,NTPC Ltd.,NTPC.NS,NIFTY 500
NTPCGREEN,NTPC Green Energy Ltd.,NTPCGREEN.NS,NIFTY 500
NUVAMA,Nuvama Wealth Management Ltd.,NUVAMA.NS,NIFTY 500
NUVOCO,Nuvoco Vistas Corporation Ltd.,NUVOCO.NS,NIFTY 500
NYKAA,FSN E-Commerce Ventures Ltd.,NYKAA.NS,NIFTY 500
OBEROIRLTY,Oberoi Realty Ltd.,OBEROIRLTY.NS,NIFTY 500
OFSS,Oracle Financial Services Software Ltd.,OFSS.NS,NIFTY 500
