symbol,name,ticker,source_index
DATAPATTNS,Data Patterns (India) Ltd.,DATAPATTNS.NS,NIFTY 500
DCMSHRIRAM,DCM Shriram Ltd.,DCMSHRIRAM.NS,NIFTY 500
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT.NS,NIFTY 500
DEEPAKNTR,Deepak Nitrite Ltd.,DEEPAKNTR.NS,NIFTY 500
DELHIVERY,Delhivery Ltd.,DELHIVERY.NS,NIFTY 500
DEVYANI,Devyani International Ltd.,DEVYANI.NS,NIFTY 500
DIVISLAB,Divi's Laboratories Ltd.,DIVISLAB.NS,NIFTY 500
DIXON,Dixon Technologies (India) Ltd.,DIXON.NS,NIFTY 500
DLF,DLF Ltd.,DLF.NS,NIFTY 500
DMART,Avenue Supermarts Ltd.,DMART.NS,NIFTY 500
DOMS,DOMS Industries Ltd.,DOMS.NS,NIFTY 500
DRREDDY,Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,NIFTY 500
ECLERX,eClerx Services Ltd.,ECLERX.NS,NIFTY 500
EICHERMOT,Eicher Motors Ltd.,EICHERMOT.NS,NIFTY 500
EIDPARRY,E.I.D. Parry (India) Ltd.,EIDPARRY.NS,NIFTY 500
EIHOTEL,EIH Ltd.,EIHOTEL.NS,NIFTY 500
ELECON,Elecon Engineering Co. Ltd.,ELECON.NS,NIFTY 500
ELGIEQUIP,Elgi Equipments Ltd.,ELGIEQUIP.NS,NIFTY 500
EMAMILTD,Emami Ltd.,EMAMILTD.NS,NIFTY 500
EMCURE,Emcure Pharmaceuticals Ltd.,EMCURE.NS,NIFTY 500
EMMVEE,Emmvee Photovoltaic Power Ltd.,EMMVEE.NS,NIFTY 500
ENDURANCE,Endurance Technologies Ltd.,ENDURANCE.NS,NIFTY 500
ENGINERSIN,Engineers India Ltd.,ENGINERSIN.NS,NIFTY 500
ENRIN,Siemens Energy India Ltd.,ENRIN.NS,NIFTY 500
ERIS,Eris Lifesciences Ltd.,ERIS.NS,NIFTY 500
ESCORTS,Escorts Kubota Ltd.,ESCORTS.NS,NIFTY 500
ETERNAL,Eternal Ltd.,ETERNAL.NS,NIFTY 500
EXIDEIND,Exide Industries Ltd.,EXIDEIND.NS,NIFTY 500
FACT,Fertilisers and Chemicals Travancore Ltd.,FACT.NS,NIFTY 500
FEDERALBNK,Federal Bank Ltd.,FEDERALBNK.NS,NIFTY 500
FINCABLES,Finolex Cables Ltd.,FINCABLES.NS,NIFTY 500
FIRSTCRY,Brainbees Solutions Ltd.,FIRSTCRY.NS,NIFTY 500
FIVESTAR,Five-Star Business Finance Ltd.,FIVESTAR.NS,NIFTY 500
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,FLUOROCHEM.NS,NIFTY 500
FORCEMOT,Force Motors Ltd.,FORCEMOT.NS,NIFTY 500
FORTIS,Fortis Healthcare Ltd.,FORTIS.NS,NIFTY 500
FSL,Firstsource Solutions Ltd.,FSL.NS,NIFTY 500
GABRIEL,Gabriel India Ltd.,GABRIEL.NS,NIFTY 500
GAIL,GAIL (India) Ltd.,GAIL.NS,NIFTY 500
GALLANTT,Gallantt Ispat Ltd.,GALLANTT.NS,NIFTY 500
GESHIP,Great Eastern Shipping Co. Ltd.,GESHIP.NS,NIFTY 500
GICRE,General Insurance Corporation of India,GICRE.NS,NIFTY 500
GILLETTE,Gillette India Ltd.,GILLETTE.NS,NIFTY 500
GLAND,Gland Pharma Ltd.,GLAND.NS,NIFTY 500
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO.NS,NIFTY 500
GLENMARK,Glenmark Pharmaceuticals Ltd.,GLENMARK.NS,NIFTY 500
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,GMDCLTD.NS,NIFTY 500
GMRAIRPORT,GMR Airports Ltd.,GMRAIRPORT.NS,NIFTY 500
GODFRYPHLP,Godfrey Phillips India Ltd.,GODFRYPHLP.NS,NIFTY 500
