symbol,name,ticker,sector,source_index
ONESOURCE,Onesource Specialty Pharma Ltd.,ONESOURCE.NS,Healthcare,NIFTY 500
ONGC,Oil & Natural Gas Corporation Ltd.,ONGC.NS,Oil Gas & Consumable Fuels,NIFTY 500
PAGEIND,Page Industries Ltd.,PAGEIND.NS,Textiles,NIFTY 500
PARADEEP,Paradeep Phosphates Ltd.,PARADEEP.NS,Chemicals,NIFTY 500
PATANJALI,Patanjali Foods Ltd.,PATANJALI.NS,Fast Moving Consumer Goods,NIFTY 500
PAYTM,One 97 Communications Ltd.,PAYTM.NS,Financial Services,NIFTY 500
PCBL,PCBL Chemical Ltd.,PCBL.NS,Chemicals,NIFTY 500
PERSISTENT,Persistent Systems Ltd.,PERSISTENT.NS,Information Technology,NIFTY 500
PETRONET,Petronet LNG Ltd.,PETRONET.NS,Oil Gas & Consumable Fuels,NIFTY 500
PFC,Power Finance Corporation Ltd.,PFC.NS,Financial Services,NIFTY 500
PFIZER,Pfizer Ltd.,PFIZER.NS,Healthcare,NIFTY 500
PFOCUS,Prime Focus Ltd.,PFOCUS.NS,Media Entertainment & Publication,NIFTY 500
PGEL,PG Electroplast Ltd.,PGEL.NS,Consumer Durables,NIFTY 500
PHOENIXLTD,Phoenix Mills Ltd.,PHOENIXLTD.NS,Realty,NIFTY 500
PIDILITIND,Pidilite Industries Ltd.,PIDILITIND.NS,Chemicals,NIFTY 500
PIIND,PI Industries Ltd.,PIIND.NS,Chemicals,NIFTY 500
PINELABS,Pine Labs Ltd.,PINELABS.NS,Financial Services,NIFTY 500
PIRAMALFIN,Piramal Finance Ltd.,PIRAMALFIN.NS,Financial Services,NIFTY 500
PNB,Punjab National Bank,PNB.NS,Financial Services,NIFTY 500
PNBHOUSING,PNB Housing Finance Ltd.,PNBHOUSING.NS,Financial Services,NIFTY 500
POLICYBZR,PB Fintech Ltd.,POLICYBZR.NS,Financial Services,NIFTY 500
POLYCAB,Polycab India Ltd.,POLYCAB.NS,Capital Goods,NIFTY 500
POLYMED,Poly Medicure Ltd.,POLYMED.NS,Healthcare,NIFTY 500
POONAWALLA,Poonawalla Fincorp Ltd.,POONAWALLA.NS,Financial Services,NIFTY 500
POWERGRID,Power Grid Corporation of India Ltd.,POWERGRID.NS,Power,NIFTY 500
POWERINDIA,Hitachi Energy India Ltd.,POWERINDIA.NS,Capital Goods,NIFTY 500
PPLPHARMA,Piramal Pharma Ltd.,PPLPHARMA.NS,Healthcare,NIFTY 500
PREMIERENE,Premier Energies Ltd.,PREMIERENE.NS,Capital Goods,NIFTY 500
PRESTIGE,Prestige Estates Projects Ltd.,PRESTIGE.NS,Realty,NIFTY 500
PTCIL,PTC Industries Ltd.,PTCIL.NS,Capital Goods,NIFTY 500
PVRINOX,PVR INOX Ltd.,PVRINOX.NS,Media Entertainment & Publication,NIFTY 500
PWL,Physicswallah Ltd.,PWL.NS,Consumer Services,NIFTY 500
RADICO,Radico Khaitan Ltd,RADICO.NS,Fast Moving Consumer Goods,NIFTY 500
RAILTEL,Railtel Corporation Of India Ltd.,RAILTEL.NS,Telecommunication,NIFTY 500
RAINBOW,Rainbow Childrens Medicare Ltd.,RAINBOW.NS,Healthcare,NIFTY 500
RAMCOCEM,The Ramco Cements Ltd.,RAMCOCEM.NS,Construction Materials,NIFTY 500
RBLBANK,RBL Bank Ltd.,RBLBANK.NS,Financial Services,NIFTY 500
RECLTD,REC Ltd.,RECLTD.NS,Financial Services,NIFTY 500
REDINGTON,Redington Ltd.,REDINGTON.NS,Services,NIFTY 500
RELIANCE,Reliance Industries Ltd.,RELIANCE.NS,Oil Gas & Consumable Fuels,NIFTY 500
RHIM,RHI MAGNESITA INDIA LTD.,RHIM.NS,Capital Goods,NIFTY 500
RITES,RITES Ltd.,RITES.NS,Construction,NIFTY 500
RKFORGE,Ramkrishna Forgings Ltd.,RKFORGE.NS,Automobile and Auto Components,NIFTY 500
RPOWER,Reliance Power Ltd.,RPOWER.NS,Power,NIFTY 500
RRKABEL,R R Kabel Ltd.,RRKABEL.NS,Capital Goods,NIFTY 500
RVNL,Rail Vikas Nigam Ltd.,RVNL.NS,Construction,NIFTY 500
SAGILITY,Sagility Ltd.,SAGILITY.NS,Information Technology,NIFTY 500
SAIL,Steel Authority of India Ltd.,SAIL.NS,Metals & Mining,NIFTY 500
SAILIFE,Sai Life Sciences Ltd.,SAILIFE.NS,Healthcare,NIFTY 500
SAMMAANCAP,Sammaan Capital Ltd.,SAMMAANCAP.NS,Financial Services,NIFTY 500
SAPPHIRE,Sapphire Foods India Ltd.,SAPPHIRE.NS,Consumer Services,NIFTY 500
SARDAEN,Sarda Energy and Minerals Ltd.,SARDAEN.NS,Metals & Mining,NIFTY 500
SAREGAMA,Saregama India Ltd,SAREGAMA.NS,Media Entertainment & Publication,NIFTY 500
SBFC,SBFC Finance Ltd.,SBFC.NS,Financial Services,NIFTY 500
SBICARD,SBI Cards and Payment Services Ltd.,SBICARD.NS,Financial Services,NIFTY 500
